DATAFLOW,REF_AREA: Reference area,FREQ: Frequency of observation,MEASURE: Measure,UNIT_MEASURE: Unit of measure,DURATION: Duration,HEAT_STRESS: Heat stress thresholds,RET_PERIOD: Return periods,HURRICANE_WIND_SCALE: Hurricane wind scale thresholds,TIME_PERIOD: Time period,OBS_VALUE,OBS_STATUS: Observation status,UNIT_MULT: Unit multiplier,DECIMALS: Decimals
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),NFK: Norfolk Island,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2010,26.06274271,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),NFK: Norfolk Island,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2011,26.06274271,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),NFK: Norfolk Island,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2012,26.06274271,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),NFK: Norfolk Island,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2013,26.06274271,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),NFK: Norfolk Island,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2014,26.06274271,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),NFK: Norfolk Island,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2015,26.06274271,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),NFK: Norfolk Island,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2016,26.06274271,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),NFK: Norfolk Island,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2017,26.06274271,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),NFK: Norfolk Island,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2018,26.06274271,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),NFK: Norfolk Island,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2019,26.06274271,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),NFK: Norfolk Island,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2020,26.06274271,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),MDG: Madagascar,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2000,0.118871293,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),MDG: Madagascar,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2001,0.118871293,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),MDG: Madagascar,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2002,0.118871293,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),MDG: Madagascar,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2003,0.118871293,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),MDG: Madagascar,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2004,0.118871293,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),MDG: Madagascar,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2005,0.118871293,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),MDG: Madagascar,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2006,0.118871293,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),MDG: Madagascar,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2007,0.118871293,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),MDG: Madagascar,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2008,0.118871293,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),MDG: Madagascar,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2009,0.118871293,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),MDG: Madagascar,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2010,0.118871293,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),MDG: Madagascar,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2011,0.118871293,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),MDG: Madagascar,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2012,0.118871293,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),MDG: Madagascar,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2013,0.118871293,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),MDG: Madagascar,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2014,0.118871293,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),MDG: Madagascar,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2015,0.118871293,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),MDG: Madagascar,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2016,0.118871293,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),MDG: Madagascar,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2017,0.118871293,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),MDG: Madagascar,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2018,0.118871293,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),MDG: Madagascar,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2019,0.118871293,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),MDG: Madagascar,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2020,0.118871293,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),BRB: Barbados,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2000,0.328182123,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),BRB: Barbados,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2001,0.328182123,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),BRB: Barbados,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2002,0.328182123,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),BRB: Barbados,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2003,0.328182123,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),BRB: Barbados,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2004,0.328182123,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),BRB: Barbados,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2005,0.328182123,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),BRB: Barbados,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2006,0.328182123,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),BRB: Barbados,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2007,0.328182123,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),BRB: Barbados,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2008,0.328182123,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),BRB: Barbados,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2009,0.328182123,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),BRB: Barbados,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2010,0.328182123,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),BRB: Barbados,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2011,0.328182123,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),BRB: Barbados,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2012,0.328182123,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),BRB: Barbados,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2013,0.328182123,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),BRB: Barbados,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2014,0.328182123,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),BRB: Barbados,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2015,0.328182123,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),BRB: Barbados,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2016,0.328182123,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),BRB: Barbados,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2017,0.328182123,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),BRB: Barbados,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2018,0.328182123,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),BRB: Barbados,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2019,0.328182123,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),BRB: Barbados,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_25: 25 years,_Z: Not applicable,2020,0.328182123,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),PLW: Palau,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_100: 100 years,_Z: Not applicable,2000,1.148147295,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),PLW: Palau,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_100: 100 years,_Z: Not applicable,2001,1.148147295,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),PLW: Palau,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_100: 100 years,_Z: Not applicable,2002,1.148147295,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),PLW: Palau,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_100: 100 years,_Z: Not applicable,2003,1.148147295,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),PLW: Palau,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_100: 100 years,_Z: Not applicable,2004,1.148147295,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),PLW: Palau,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_100: 100 years,_Z: Not applicable,2005,1.148147295,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),PLW: Palau,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_100: 100 years,_Z: Not applicable,2006,1.148147295,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),PLW: Palau,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_100: 100 years,_Z: Not applicable,2007,1.148147295,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),PLW: Palau,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_100: 100 years,_Z: Not applicable,2008,1.148147295,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),PLW: Palau,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_100: 100 years,_Z: Not applicable,2009,1.148147295,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),PLW: Palau,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_100: 100 years,_Z: Not applicable,2010,1.148147295,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),PLW: Palau,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_100: 100 years,_Z: Not applicable,2011,1.148147295,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),PLW: Palau,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_100: 100 years,_Z: Not applicable,2012,1.148147295,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),PLW: Palau,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_100: 100 years,_Z: Not applicable,2013,1.148147295,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),PLW: Palau,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_100: 100 years,_Z: Not applicable,2014,1.148147295,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),PLW: Palau,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_100: 100 years,_Z: Not applicable,2015,1.148147295,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),PLW: Palau,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_100: 100 years,_Z: Not applicable,2016,1.148147295,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),PLW: Palau,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_100: 100 years,_Z: Not applicable,2017,1.148147295,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),PLW: Palau,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_100: 100 years,_Z: Not applicable,2018,1.148147295,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),PLW: Palau,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_100: 100 years,_Z: Not applicable,2019,1.148147295,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),PLW: Palau,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_100: 100 years,_Z: Not applicable,2020,1.148147295,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),VCT: Saint Vincent and the Grenadines,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_50: 50 years,_Z: Not applicable,2000,0.313422999,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),VCT: Saint Vincent and the Grenadines,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_50: 50 years,_Z: Not applicable,2001,0.313422999,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),VCT: Saint Vincent and the Grenadines,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_50: 50 years,_Z: Not applicable,2002,0.313422999,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),VCT: Saint Vincent and the Grenadines,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_50: 50 years,_Z: Not applicable,2003,0.313422999,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),VCT: Saint Vincent and the Grenadines,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_50: 50 years,_Z: Not applicable,2004,0.313422999,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),VCT: Saint Vincent and the Grenadines,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_50: 50 years,_Z: Not applicable,2005,0.313422999,,0: Units,2: Two
OECD.ENV.EPI:DSD_ECH@COAS_FLOOD(1.0),VCT: Saint Vincent and the Grenadines,A: Annual,CF_LAND_IND: Land exposure to coastal flooding,PT_LAR: Percentage of land area,_Z: Not applicable,_Z: Not applicable,Y_50: 50 years,_Z: Not applicable,2006,0.313422999,,0: Units,2: Two
